评论,时间,点赞数
ac死不悔改真就离谱，抄谁不好抄亚瑟，而且眉毛都没改。还点了个泪痣，这难道是葡哥和亚瑟的孩子「？」真就当养老院没装门了你抄袭时的笑容都没亚瑟甜死不悔改的模样真特/么刺眼热爱抄袭描图的你坚持“自我”还不道歉你不知道你有多傻/缺做错事还煽动粉丝不道歉你从来都不轻言失败对错误的态度从未变换很疑惑 当你这样说快告了我吧求求你了啊踹开养老院大门你那侵权的模样,2021-07-16 10:00:20,83
头像描图都不带改一下，不给解释吗？,2021-07-10 13:05:44,71
愿天堂有吃不完的草莓和饺子,2021-01-26 19:56:15,107
连我这种2G网都听说了。。。我是阴阳怪气和APH的双粉，在这狙你你也八成看不见，只能说你粉丝真像虾爬子，估计有不少也喜欢肖战割割。看样子你是不准备道歉了，跟你那群无脑粉对线也没啥意思，继续产粮了。我还真不知道为什么都是喜欢一个人，有些粉丝能完全否认那个人做过的错事，将他神圣化，还反客为主的去骂受害者，有些粉丝能接受那个人做过的错事，希望他能认识到自己的错误并改正，甚至不想他回来只盼望着他能正确且开心的生活。做一个尚且存有一些理智的粉丝有这么难吗？,2021-07-18 23:12:12,77
“我吹过你吹过的晚风 那我们算不算相拥”,2021-01-22 18:02:36,82
"艾辰黑历史合集：均  已  石  锤1.原头像描图亚瑟柯克兰，态度极其恶劣，且并不是全然无知，17年用原图做过头像2.视频《痒》直接盗用aph的图(小菊亚瑟)（【艾辰】痒（受音&攻音）骚起来自己都害怕自己）3.无版权翻唱撒野还魔改4.现头像人设是偷的零度恋人的，来人细说5.《念》Pv是描冰菓的6.酷狗音乐《醉赤壁》，网易云音乐《入戏太深》《踏山河》用的是英的那张图7.弦森要求《千灯愿》全网下架后艾辰继续翻唱，弦森礼貌提醒其删除后被拒绝，其粉丝还去骂弦森8.盗图《恋与制作人》中的白起9.网易云音乐《情话》封面是本田菊和本田樱的同人图10.微博小店仍试用亚瑟柯克兰的图片作为头像11.使用动漫《文豪野犬》作为视频素材没有标明出处（【艾辰】——感官先生，视频名叫“感官先生”）12.《君不见》（【艾辰】君不见）碰瓷剑网三13.《明灯引》歌词灵感来于《天官赐福》但不让说，歌词抄袭《天官赐福》，封面歌名也碰瓷该作品14.初期头像描图排骨教主15.碰瓷《二哈和他的白猫师尊》主题曲16.现B站背景为《黑塔利亚》角色亚瑟.柯克兰之前被侵权描改做头像那张图的翻描，而原作者曾表示禁止再次使用。  17.轻视绘圈，之前找画手约头像的时候有明显侮辱言论""赚钱的活还不干""(意思就是画手人均见钱眼开)",2021-08-01 04:52:31,66
ac一发出视频，所有养老院的姐妹就看着它笑，有的叫道：“ac，你弹幕评论又被我们刷满了！”他不回答，在直播里对粉丝说：“这群疯狗人不多。”便继续拒绝道歉。姐妹们又故意高声嚷道：“你一定偷了人家的图！！”ac睁大眼睛说：“你怎么这样凭空污人清白……”“什么清白？我们亲眼见你盗了亚瑟的图作头像，吊着打。”ac便涨红了脸，脸上的青筋条条绽出，争辩道：“盗图不能叫偷……盗图！唱见的事，能叫偷么？”接连便是难懂的话，什么“道德绑架”，什么“不用理那些人”，什么“没有资格让我跟他们道歉”，引得众人都哄笑起来，养老院内外充满了快活的空气。,2021-07-16 10:14:54,65
同志们 咱狙他的目的是为了让他道歉，事情闹大了谁也不好看  建议大家不要进行人身攻击给圈子招黑，就事论事，“某某唱见被某圈粉丝逼到退圈”这肯定会给圈子带来影响。希望大家能克制情绪，不要让别人抓住把柄,2021-07-19 11:27:04,63
艾辰的头像是黑塔利亚人物:亚瑟·柯克兰，加上了自己的元素，很多人希望艾辰换个头像，可他头像没有换并且说话很难听，因为态度恶劣并且占着我们喜欢的人物描图所以我们来冲艾辰，希望头脑清醒的姐妹理智脱粉，有些不明所以的姐妹可以代入自己非常喜欢的角色被人描图做头像，不但不换头像且态度十分恶劣，我相信你如果不是找不愉快就应该理智脱粉，离这种晦气的人远一些。希望大家都能理智，清醒，如果这条被删掉，我还是会发，直到艾辰道歉为止！谢谢大家看完这段话。（from@黑兔_YaYaNou ）,2021-07-14 19:01:00,63
道歉，给亚瑟道歉，给所有英厨道歉，给私信你换头像结果被你回不换咋地的姐妹道歉,2021-07-13 14:29:52,63
词曲编曲都不是他啊，我还想夸有才华？艾辰，一个碰瓷多个圈子，而且就是那种刮刮蹭蹭地碰瓷，跟他对线拉低圈子名誉，不对线又觉得这人像苍蝇一样烦,2021-07-19 20:40:22,62
