店铺名,店铺所在位置,人均消费,评分,美食名称,店铺图片链接,纬度,经度,最低价格,店铺ID,店铺详情页
沪上阿姨鲜果茶（阜阳北路大润发店）,凤台路大润发,15.0,3.7,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.8949,117.285,0.66,1589942379,https://www.meituan.com/meishi/1589942379/
伏小桃（蜀山高新银泰百货店）,高新区,0.0,3.7,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1718577056_1632303185687.jpeg,31.8311,117.1331,0.0,951215149,https://www.meituan.com/meishi/951215149/
卡旺卡（漫乐城店）,徽州大道,18.0,4.4,奶茶/果汁,http://p1.meituan.net/w.h/bbia/76b550bd8d6cd0258b70fb5839637ca5144403.jpg,31.8348,117.2861,0.0,165401198,https://www.meituan.com/meishi/165401198/
甜啦啦（熙云府店）,新站区,13.0,4.5,奶茶/果汁,http://p0.meituan.net/w.h/biztone/429d5a765abe8471d369152100f46494140295.jpg,31.9217,117.3036,0.1,1179638478,https://www.meituan.com/meishi/1179638478/
甜啦啦（包河苑商业街店）,包河苑,12.0,4.7,面包甜点,http://p0.meituan.net/w.h/biztone/429d5a765abe8471d369152100f46494140295.jpg,31.797,117.3196,0.1,987396746,https://www.meituan.com/meishi/987396746/
CoCo都可（欢乐颂二店）,亳州路,12.0,4.5,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8769,117.2613,8.15,42543953,https://www.meituan.com/meishi/42543953/
R&B珍奶（家天下生活广场店）,家天下生活广场,12.0,4.8,奶茶/果汁,http://p0.meituan.net/w.h/biztone/a0d2b3af2ce229fb815d10f9839b0f82343914.jpg,31.8964,117.3251,7.9,193494550,https://www.meituan.com/meishi/193494550/
CoCo都可（明光路店）,长江东路,13.0,4.7,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8653,117.3061,8.15,41168632,https://www.meituan.com/meishi/41168632/
蜜雪冰城（步行街海鲜一条街店）,宿州路,7.0,4.4,冰淇淋,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.8634,117.2892,0.1,1754653474,https://www.meituan.com/meishi/1754653474/
茶百道（港澳广场店）,港澳广场,16.0,4.4,奶茶/果汁,http://p0.meituan.net/w.h/biztone/b8df853928aacac04c8add55075cb030325791.jpg,31.7911,117.2079,6.66,1571402903,https://www.meituan.com/meishi/1571402903/
卡旺卡（黉街店）,磨店,16.0,4.2,奶茶/果汁,http://p1.meituan.net/w.h/bbia/76b550bd8d6cd0258b70fb5839637ca5144403.jpg,31.9328,117.3897,0.0,164655011,https://www.meituan.com/meishi/164655011/
R&B珍奶（陶冲湖店）,新站区,13.0,4.1,奶茶/果汁,http://p1.meituan.net/w.h/biztone/b614d0169e926efbc081fe786d54cbda212861.jpg,31.9353,117.3421,0.1,1840913305,https://www.meituan.com/meishi/1840913305/
